review_text,rating
"Worst purchase ever made, returned immediately for a full refund  Terrible.",1
"Would give zero stars if possible, absolutely horrible experience  Very bad.",2
"Extremely poor quality, arrived damaged and smelled bad  Very bad.",2
"Excellent product, would definitely recommend to anyone  Great!",5
"This product is incredible, far exceeded my expectations .",5
"Works exactly as advertised, super happy with the quality ",5
"Do not buy this, completely useless and the seller ignores complaints ",1
"Worst purchase ever made, returned immediately for a full refund  Terrible.",1
"Very disappointed, nothing like the photos shown on the listing ",1
"Very satisfied with this purchase, great customer service too !",5
"Amazing value for money, works great and looks beautiful !",4
"This product is incredible, far exceeded my expectations .",5
"Wonderful item, easy to use and very good quality overall  Highly recommended.",4
"Highly recommend this seller, product is top notch quality  Highly recommended.",4
"Product is okay, nothing special but does the job for the price",3
"Fantastic product, sturdy and well made, arrived promptly  Great!",5
"Absolutely love this product, it works perfectly and arrived on time  Highly recommended.",4
"Perfect fit and great quality material, will buy again !",5
"Fantastic product, sturdy and well made, arrived promptly ",5
"Excellent product, would definitely recommend to anyone  Highly recommended.",5
"Terrible seller, product is fake and nothing like advertised  Terrible.",1
"Great quality, exceeded my expectations completely !",5
"Outstanding product, delivered quickly and packaged well ",4
"Very disappointed, nothing like the photos shown on the listing  Terrible.",2
"Product is okay, nothing special but does the job for the price",3
,4
"Love it so much, best purchase I have made in a long time !",4
"Wonderful item, easy to use and very good quality overall !",5
"Very satisfied with this purchase, great customer service too ",5
"Highly recommend this seller, product is top notch quality  Great!",4
"Works exactly as advertised, super happy with the quality  Highly recommended.",5
"Completely broken on arrival, seller refused to issue refund  Terrible.",1
"This product is incredible, far exceeded my expectations .",4
"Product is okay, nothing special but does the job for the price",3
"Very unhappy with this product, it does not work as described  Terrible.",2
"Love it so much, best purchase I have made in a long time ",5
"Would give zero stars if possible, absolutely horrible experience .",1
"Very unhappy with this product, it does not work as described  Terrible.",1
"Works exactly as advertised, super happy with the quality ",5
"Do not buy this, completely useless and the seller ignores complaints ",1
"Product is okay, nothing special but does the job for the price",3
"Wonderful item, easy to use and very good quality overall !",4
"Product is okay, nothing special but does the job for the price",3
"Would give zero stars if possible, absolutely horrible experience .",1
"Amazing value for money, works great and looks beautiful  Great!",4
"Love it so much, best purchase I have made in a long time  Great!",4
"Highly recommend this seller, product is top notch quality .",4
"Do not buy this, completely useless and the seller ignores complaints .",2
"Outstanding product, delivered quickly and packaged well !",5
"Terrible seller, product is fake and nothing like advertised  Avoid.",2
"Works exactly as advertised, super happy with the quality  Highly recommended.",4
"Very pleased with my order, packaging was great too .",4
"Outstanding product, delivered quickly and packaged well .",5
"Terrible seller, product is fake and nothing like advertised .",1
The product arrived broken and I am very unhappy with this  Terrible.,1
"Completely broken on arrival, seller refused to issue refund  Very bad.",2
The product arrived broken and I am very unhappy with this  Terrible.,1
"Would give zero stars if possible, absolutely horrible experience  Terrible.",1
"Highly recommend this seller, product is top notch quality  Highly recommended.",5
"Extremely poor quality, arrived damaged and smelled bad  Avoid.",1
"Love it so much, best purchase I have made in a long time !",5
"Terrible quality, fell apart after just one use, waste of money  Avoid.",2
"This product is incredible, far exceeded my expectations  Highly recommended.",5
"Product is okay, nothing special but does the job for the price",3
"Love it so much, best purchase I have made in a long time  Highly recommended.",4
"Misleading description, the item is much smaller than expected ",2
"Works exactly as advertised, super happy with the quality  Great!",5
"Product is okay, nothing special but does the job for the price",3
"Misleading description, the item is much smaller than expected ",1
"Product is okay, nothing special but does the job for the price",3
"Terrible seller, product is fake and nothing like advertised  Very bad.",1
The product arrived broken and I am very unhappy with this  Avoid.,2
"Highly recommend this seller, product is top notch quality .",4
"This product is incredible, far exceeded my expectations .",5
"Absolutely love this product, it works perfectly and arrived on time  Highly recommended.",5
"Very unhappy with this product, it does not work as described ",2
"Very disappointed, nothing like the photos shown on the listing  Very bad.",1
"Very satisfied with this purchase, great customer service too !",5
"Product stopped working after two days, very poor quality  Terrible.",1
"Love it so much, best purchase I have made in a long time  Highly recommended.",5
"Fantastic product, sturdy and well made, arrived promptly .",4
"Amazing value for money, works great and looks beautiful  Great!",4
"Very disappointed, nothing like the photos shown on the listing ",2
"Very unhappy with this product, it does not work as described  Very bad.",1
"Wonderful item, easy to use and very good quality overall ",4
